"","World Bank Income Status","Country (ISO3 Code)","WHO-CHOICE Region","World Bank Geographical Region","World Health Organization Region","Gram stain","Antibiotic Class","Syndrome","Regional Level of MA for LOS","Number of Studies in MA for LOS","Mean Cost - from Excess LOS","Low 95% UI Bound - from Excess LOS","High 95% UI Bound - from Excess LOS","Regional Level of MA for Extracted Costs","Number of Studies in MA for Extracted Costs","Mean Cost - from Extracted Costs","Low 95% UI Bound - from Exctraced Costs","High 95% UI Bound - from Extraced Costs","Mean Cost - Across Both","Low 95% UI Bound - Across Both","High 95% UI Bound - Across Both","AMR_or_DRI","adj.factor","los.cost","Scenario 2 Mean Cost"
"4248","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","tb","mdr","RTI","global",3,15407,-6807,49737,"global",1,48507,-38657,144171,31957,-27674,130458,"AMR",2.69094837960021,15407,56866.4416845004
"4249","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","RTI","income",3,153,1,386,"global",5,-764,-5448,3661,-305,-4529,3211,"AMR",2.69094837960021,153,564.715102078832
"4250","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","SSI","global",2,794,268,1713,"global",2,36458,-11922,85279,18626,-4124,78178,"AMR",2.69094837960021,794,2930.61301340257
"4251","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","SSTI","income",2,1272,265,3060,"income",1,5614,-6039,17554,3443,-3947,15363,"AMR",2.69094837960021,1272,4694.88633885147
"4252","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","UTI","global",4,372,120,836,"global",2,1587,-971,3946,979,-416,3629,"AMR",2.69094837960021,372,1373.03279721128
"4253","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","UTI","global",2,1008,-55,2515,NA,NA,NA,NA,NA,1008,-55,2515,"AMR",2.69094837960021,1008,3720.47596663701
"4254","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","UTI","global",1,224,-5951,6661,NA,NA,NA,NA,NA,224,-5951,6661,"AMR",2.69094837960021,224,826.772437030447
"4255","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","gp","penicillins","B-J","income",1,402,-508,1694,NA,NA,NA,NA,NA,402,-508,1694,"AMR",2.69094837960021,402,1483.76124859928
"4256","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","gn","3g cephalosporins","BSI","income",13,159,53,378,"income",3,317,-156,789,238,-82,708,"AMR",2.69094837960021,159,586.860792356433
"4257","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","gn","carbapenems","BSI","income",3,-99,-659,335,NA,NA,NA,NA,NA,-99,-659,335,"AMR",2.69094837960021,-99,-365.403889580421
"4258","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","gp","glycopeptides","BSI","global",14,254,87,569,"global",5,2846,-477,6241,1550,20,5673,"AMR",2.69094837960021,254,937.500888418453
"4259","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","gp","penicillins","BSI","income",6,193,3,542,"income",2,122,-109,356,157,-80,459,"AMR",2.69094837960021,193,712.353037262841
"4260","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","gn","3g cephalosporins","COL/INF","income",6,298,114,659,"income",3,1220,-240,2624,759,8,2403,"AMR",2.69094837960021,298,1099.90261712086
"4261","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","gn","carbapenems","COL/INF","income",7,101,33,227,"income",4,2924,-46,6138,1513,30,5544,"AMR",2.69094837960021,101,372.785786339621
"4262","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","gp","glycopeptides","COL/INF","global",7,161,2,432,"global",4,21405,-967,43488,10783,-4,40220,"AMR",2.69094837960021,161,594.242689115634
"4263","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","gp","penicillins","COL/INF","income",1,31,12,67,"global",7,2988,-4200,9843,1510,-3206,8714,"AMR",2.69094837960021,31,114.419399767607
"4264","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","gn","3g cephalosporins","RTI","income",7,11,-144,170,NA,NA,NA,NA,NA,11,-144,170,"AMR",2.69094837960021,11,40.6004321756023
"4265","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","gn","carbapenems","RTI","income",1,1386,-1074,5139,"income",1,6336,-6462,18682,3861,-4116,16108,"AMR",2.69094837960021,1386,5115.65445412589
"4266","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","tb","mdr","RTI","global",3,4533,-1441,14470,"global",1,45829,-55508,143988,25181,-35664,125159,"AMR",2.69094837960021,4533,16731.0690047278
"4267","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","gp","penicillins","RTI","income",3,44,4,120,"global",5,-781,-5210,3495,-368,-4543,2821,"AMR",2.69094837960021,44,162.401728702409
"4268","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","gp","penicillins","SSI","global",2,238,81,534,"global",2,36052,-14563,83049,18145,-5401,77010,"AMR",2.69094837960021,238,878.44571434485
"4269","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","gp","penicillins","SSTI","income",2,375,71,891,"income",1,5518,-4850,15906,2946,-3271,14834,"AMR",2.69094837960021,375,1384.10564235008
"4270","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","gn","3g cephalosporins","UTI","global",4,113,35,264,"global",2,1554,-742,3899,833,-468,3534,"AMR",2.69094837960021,113,417.077166894824
"4271","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","gn","carbapenems","UTI","global",2,308,33,869,NA,NA,NA,NA,NA,308,33,869,"AMR",2.69094837960021,308,1136.81210091686
"4272","Upper middle income","GTM","AMRO D","Latin America & Caribbean","PAHO","gp","glycopeptides","UTI","global",1,116,-1410,1904,NA,NA,NA,NA,NA,116,-1410,1904,"AMR",2.69094837960021,116,428.150012033624
"4273","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","B-J","whoc",1,232,-289,986,NA,NA,NA,NA,NA,232,-289,986,"AMR",2.69094837960021,232,856.300024067249
"4274","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","BSI","whoc",2,205,0,523,"income",3,306,-161,771,256,-94,718,"AMR",2.69094837960021,205,756.644417818043
"4275","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","BSI","whoc",2,2,-334,363,NA,NA,NA,NA,NA,2,-334,363,"AMR",2.69094837960021,2,7.38189675920042
"4276","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","BSI","global",14,153,53,331,"global",5,2907,-661,6592,1530,-143,5980,"AMR",2.69094837960021,153,564.715102078832
"4277","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","BSI","income",6,119,-3,346,"income",2,127,-115,375,123,-73,365,"AMR",2.69094837960021,119,439.222857172425
"4278","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","COL/INF","whoc",4,206,78,434,"whoc",1,1560,-1441,4610,883,-981,4025,"AMR",2.69094837960021,206,760.335366197643
"4279","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","COL/INF","whoc",1,59,-40,222,"whoc",1,2401,-2190,6980,1230,-1602,6190,"AMR",2.69094837960021,59,217.765954396412
"4280","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","COL/INF","global",7,97,8,279,"global",4,22043,-1329,46094,11070,2,41771,"AMR",2.69094837960021,97,358.02199282122
"4281","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","COL/INF","whoc",1,19,8,41,"global",7,3085,-3864,10347,1552,-3204,9395,"AMR",2.69094837960021,19,70.128019212404
"4282","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","RTI","income",7,7,-82,117,NA,NA,NA,NA,NA,7,-82,117,"AMR",2.69094837960021,7,25.8366386572015
"4283","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","RTI","income",1,862,-531,2835,"income",1,6407,-5257,19345,3635,-3775,17322,"AMR",2.69094837960021,862,3181.59750321538
"4284","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","tb","mdr","RTI","global",3,2676,-899,8912,"global",1,47846,-42552,133776,25261,-27539,122910,"AMR",2.69094837960021,2676,9876.97786381016
"4285","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","RTI","income",3,27,1,72,"global",5,-761,-4915,3784,-367,-4253,2885,"AMR",2.69094837960021,27,99.6556062492057
"4286","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","SSI","global",2,143,52,324,"global",2,37144,-11461,87681,18644,-3324,79449,"AMR",2.69094837960021,143,527.80561828283
"4287","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","SSTI","income",2,230,46,558,"income",1,5402,-4994,16050,2816,-3287,14577,"AMR",2.69094837960021,230,848.918127308048
"4288","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","UTI","global",4,67,21,152,"global",2,1523,-811,3778,795,-544,3454,"AMR",2.69094837960021,67,247.293541433214
"4289","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","UTI","global",2,184,8,473,NA,NA,NA,NA,NA,184,8,473,"AMR",2.69094837960021,184,679.134501846439
"4290","Upper middle income","GUY","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","UTI","global",1,34,-960,1122,NA,NA,NA,NA,NA,34,-960,1122,"AMR",2.69094837960021,34,125.492244906407
"4291","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","B-J","income",1,3159,-4301,13093,NA,NA,NA,NA,NA,3159,-4301,13093,"AMR",2.69094837960021,3159,11659.7059311571
"4292","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","gn","3g cephalosporins","BSI","income",13,1240,387,2764,"income",3,320,-168,759,780,-102,2463,"AMR",2.69094837960021,1240,4576.77599070426
"4293","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","gn","carbapenems","BSI","income",3,-715,-5110,2883,NA,NA,NA,NA,NA,-715,-5110,2883,"AMR",2.69094837960021,-715,-2639.02809141415
"4294","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","gp","glycopeptides","BSI","global",14,2005,613,4516,"global",5,2834,-552,6306,2420,4,5910,"AMR",2.69094837960021,2005,7400.35150109842
"4295","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","BSI","income",6,1501,-52,4192,"income",2,126,-110,367,813,-101,3638,"AMR",2.69094837960021,1501,5540.11351777992
"4296","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","gn","3g cephalosporins","COL/INF","income",6,2327,851,4855,"income",3,1231,-262,2632,1779,27,4381,"AMR",2.69094837960021,2327,8588.83687932969
"4297","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","gn","carbapenems","COL/INF","income",7,787,241,1868,"income",4,2946,-244,6517,1867,116,5696,"AMR",2.69094837960021,787,2904.77637474537
"4298","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","gp","glycopeptides","COL/INF","global",7,1264,45,3572,"global",4,20977,-3328,43534,11121,-408,40728,"AMR",2.69094837960021,1264,4665.35875181467
"4299","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","COL/INF","income",1,246,87,533,"global",7,2799,-4193,9558,1522,-2971,8649,"AMR",2.69094837960021,246,907.973301381652
"4300","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","gn","3g cephalosporins","RTI","income",7,126,-1041,1383,NA,NA,NA,NA,NA,126,-1041,1383,"AMR",2.69094837960021,126,465.059495829626
"4301","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","gn","carbapenems","RTI","income",1,10890,-8945,38332,"income",1,6355,-5832,18005,8623,-7087,32758,"AMR",2.69094837960021,10890,40194.4278538463
"4302","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","tb","mdr","RTI","global",3,35458,-13875,118159,"global",1,46962,-40114,135762,41210,-32921,127916,"AMR",2.69094837960021,35458,130873.647643864
"4303","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","RTI","income",3,351,4,960,"global",5,-622,-4901,3892,-135,-4428,3017,"AMR",2.69094837960021,351,1295.52288123967
"4304","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","SSI","global",2,1863,614,4357,"global",2,35916,-17280,83903,18890,-6529,78624,"AMR",2.69094837960021,1863,6876.23683119519
"4305","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","SSTI","income",2,2939,587,7366,"income",1,5576,-5279,16825,4258,-3271,14926,"AMR",2.69094837960021,2939,10847.697287645
"4306","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","gn","3g cephalosporins","UTI","global",4,872,254,1940,"global",2,1539,-953,3918,1206,-567,3496,"AMR",2.69094837960021,872,3218.50698701138
"4307","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","gn","carbapenems","UTI","wbregion",1,1458,-368,4261,NA,NA,NA,NA,NA,1458,-368,4261,"AMR",2.69094837960021,1458,5381.40273745711
"4308","Upper middle income","IRN","EMRO E","Middle East & North Africa","EMRO","gp","glycopeptides","UTI","global",1,185,-15078,15173,NA,NA,NA,NA,NA,185,-15078,15173,"AMR",2.69094837960021,185,682.825450226039
"4309","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","gp","penicillins","B-J","income",1,193,-278,857,NA,NA,NA,NA,NA,193,-278,857,"AMR",2.69094837960021,193,712.353037262841
"4310","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","gn","3g cephalosporins","BSI","income",13,79,24,183,"income",3,307,-180,802,193,-72,711,"AMR",2.69094837960021,79,291.584921988417
"4311","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","gn","carbapenems","BSI","income",3,-47,-287,164,NA,NA,NA,NA,NA,-47,-287,164,"AMR",2.69094837960021,-47,-173.47457384121
"4312","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","gp","glycopeptides","BSI","global",14,126,43,283,"global",5,2841,-604,6342,1484,-134,5879,"AMR",2.69094837960021,126,465.059495829626
"4313","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","gp","penicillins","BSI","income",6,93,-12,290,"income",2,125,-109,369,109,-77,331,"AMR",2.69094837960021,93,343.25819930282
"4314","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","gn","3g cephalosporins","COL/INF","income",6,148,56,324,"income",3,1228,-191,2606,688,31,2453,"AMR",2.69094837960021,148,546.260360180831
"4315","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","gn","carbapenems","COL/INF","income",7,51,15,118,"income",4,2898,-492,5981,1474,6,5552,"AMR",2.69094837960021,51,188.238367359611
"4316","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","gp","glycopeptides","COL/INF","global",7,79,6,212,"global",4,21733,-1302,43508,10906,3,40096,"AMR",2.69094837960021,79,291.584921988417
"4317","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","gp","penicillins","COL/INF","income",1,15,6,33,"global",7,3040,-4132,10630,1527,-3086,9536,"AMR",2.69094837960021,15,55.3642256940032
"4318","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","gn","3g cephalosporins","RTI","income",7,6,-71,89,NA,NA,NA,NA,NA,6,-71,89,"AMR",2.69094837960021,6,22.1456902776013
"4319","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","gn","carbapenems","RTI","income",1,688,-562,2545,"income",1,6255,-5378,18425,3471,-3799,16713,"AMR",2.69094837960021,688,2539.37248516494
"4320","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","tb","mdr","RTI","global",3,2333,-1027,7344,"global",1,47422,-43980,133915,24878,-26743,119378,"AMR",2.69094837960021,2333,8610.98256960729
"4321","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","gp","penicillins","RTI","income",3,22,0,61,"global",5,-732,-4986,3962,-355,-4295,3121,"AMR",2.69094837960021,22,81.2008643512046
"4322","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","gp","penicillins","SSI","global",2,117,38,274,"global",2,36065,-13928,84147,18091,-7232,76104,"AMR",2.69094837960021,117,431.840960413225
"4323","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","gp","penicillins","SSTI","income",2,186,41,470,"income",1,5791,-5903,17182,2989,-3937,15483,"AMR",2.69094837960021,186,686.516398605639
"4324","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","gn","3g cephalosporins","UTI","global",4,55,18,133,"global",2,1597,-909,4009,826,-452,3672,"AMR",2.69094837960021,55,203.002160878012
"4325","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","gn","carbapenems","UTI","wbregion",1,90,-27,279,NA,NA,NA,NA,NA,90,-27,279,"AMR",2.69094837960021,90,332.185354164019
"4326","Upper middle income","IRQ","EMRO D","Middle East & North Africa","EMRO","gp","glycopeptides","UTI","global",1,34,-954,1032,NA,NA,NA,NA,NA,34,-954,1032,"AMR",2.69094837960021,34,125.492244906407
"4327","Upper middle income","JAM","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","B-J","whoc",1,721,-958,2863,NA,NA,NA,NA,NA,721,-958,2863,"AMR",2.69094837960021,721,2661.17378169175
"4328","Upper middle income","JAM","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","BSI","whoc",2,643,22,1734,"income",3,307,-147,785,475,-103,1509,"AMR",2.69094837960021,643,2373.27980808294
"4329","Upper middle income","JAM","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","BSI","whoc",2,19,-958,1061,NA,NA,NA,NA,NA,19,-958,1061,"AMR",2.69094837960021,19,70.128019212404
"4330","Upper middle income","JAM","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","BSI","global",14,485,165,1118,"global",5,2822,-500,6271,1653,-174,5790,"AMR",2.69094837960021,485,1790.1099641061
"4331","Upper middle income","JAM","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","BSI","income",6,373,2,1046,"income",2,129,-105,369,251,-76,897,"AMR",2.69094837960021,373,1376.72374559088
"4332","Upper middle income","JAM","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","COL/INF","whoc",4,656,240,1393,"whoc",1,1563,-1317,4475,1109,-797,4008,"AMR",2.69094837960021,656,2421.26213701774
"4333","Upper middle income","JAM","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","COL/INF","whoc",1,178,-132,621,"whoc",1,2345,-1983,6625,1261,-1321,5818,"AMR",2.69094837960021,178,656.988811568837
"4334","Upper middle income","JAM","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","COL/INF","global",7,315,25,837,"global",4,22181,-1549,47223,11248,-11,42901,"AMR",2.69094837960021,315,1162.64873957407
"4335","Upper middle income","JAM","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","COL/INF","whoc",1,60,22,130,"global",7,2838,-4294,9454,1449,-3207,8477,"AMR",2.69094837960021,60,221.456902776013
"4336","Upper middle income","JAM","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","RTI","income",7,20,-282,315,NA,NA,NA,NA,NA,20,-282,315,"AMR",2.69094837960021,20,73.8189675920042
